model,measure,feature,value,share
xgboost_change,cover,prev_1m_distinct_merchants,3589.414794921875,
xgboost_change,cover,prev_1m_txn_count,3064.158203125,
xgboost_change,cover,delta_prev_1m_2m_closing_balance_usd,2640.809814453125,
xgboost_change,cover,prev_1m_spend_cash_atm_usd,2633.89013671875,
xgboost_change,cover,month_of_year,2619.346435546875,
xgboost_change,cover,prev_1m_total_spend_usd,2617.4248046875,
xgboost_change,cover,prev_1m_total_credited_usd,2556.3779296875,
xgboost_change,cover,roll3_mean_net_flow_usd,1534.5850830078125,
xgboost_change,cover,roll3_mean_total_debited_usd,788.7340698242188,
xgboost_change,cover,roll3_mean_total_credited_usd,637.3665161132812,
xgboost_change,cover,prev_2m_closing_balance_usd,611.1875,
xgboost_change,cover,roll3_std_closing_balance_usd,338.8113098144531,
xgboost_change,cover,prev_1m_total_debited_usd,309.3145751953125,
xgboost_change,cover,prev_1m_net_flow_usd,12.486093521118164,
xgboost_change,cover,roll3_mean_closing_balance_usd,10.547805786132812,
xgboost_change,cover,prev_3m_closing_balance_usd,6.919734477996826,
xgboost_change,cover,prev_1m_spend_groceries_usd,2.4160642623901367,
xgboost_change,cover,prev_1m_closing_balance_usd,0.0,
xgboost_change,cover,accounts_held,0.0,
xgboost_change,cover,days_in_month,0.0,
xgboost_change,cover,prev_1m_spend_dining_usd,0.0,
xgboost_change,cover,prev_1m_spend_retail_usd,0.0,
xgboost_change,cover,prev_1m_spend_transport_usd,0.0,
xgboost_change,cover,prev_1m_spend_bills_usd,0.0,
xgboost_change,cover,prev_1m_spend_other_usd,0.0,
