model,measure,feature,value,share
xgboost_change,cover,share_spend_other,558.8427124023438,
xgboost_change,cover,prev_3m_closing_balance_usd,549.6173706054688,
xgboost_change,cover,net_flow_to_balance,522.2921752929688,
xgboost_change,cover,mom_growth_1_2,441.82684326171875,
xgboost_change,cover,ratio_balance_to_roll3,432.9850769042969,
xgboost_change,cover,share_spend_retail,387.3471374511719,
xgboost_change,cover,prev_2m_closing_balance_usd,350.07452392578125,
xgboost_change,cover,ratio_net_flow_to_roll3,329.8614196777344,
xgboost_change,cover,accounts_held,315.8481750488281,
xgboost_change,cover,mom_growth_2_3,265.4580993652344,
xgboost_change,cover,share_spend_bills,263.8681640625,
xgboost_change,cover,growth_3,248.6129913330078,
xgboost_change,cover,month_sin,241.51748657226562,
xgboost_change,cover,spend_to_balance,88.40182495117188,
xgboost_change,cover,share_spend_transport,70.65454864501953,
xgboost_change,cover,share_spend_dining,44.108848571777344,
